month,rate
1998-09-01,0.046
1998-10-01,0.045
1998-11-01,0.044
1998-12-01,0.044
1999-01-01,0.043
1999-02-01,0.044
1999-03-01,0.042
1999-04-01,0.043
1999-05-01,0.042
1999-06-01,0.043
1999-07-01,0.043
1999-08-01,0.042
1999-09-01,0.042
1999-10-01,0.041
1999-11-01,0.041
1999-12-01,0.040
2000-01-01,0.040
2000-02-01,0.041
2000-03-01,0.040
2000-04-01,0.038
2000-05-01,0.040
2000-06-01,0.040
2000-07-01,0.040
2000-08-01,0.041
2000-09-01,0.039
2000-10-01,0.039
2000-11-01,0.039
2000-12-01,0.039
2001-01-01,0.042
2001-02-01,0.042
2001-03-01,0.043
2001-04-01,0.044
2001-05-01,0.043
2001-06-01,0.045
2001-07-01,0.046
2001-08-01,0.049
2001-09-01,0.050
2001-10-01,0.053
2001-11-01,0.055
2001-12-01,0.057
2002-01-01,0.057
2002-02-01,0.057
2002-03-01,0.057
2002-04-01,0.059
2002-05-01,0.058
2002-06-01,0.058
2002-07-01,0.058
2002-08-01,0.057
2002-09-01,0.057
2002-10-01,0.057
2002-11-01,0.059
2002-12-01,0.060
2003-01-01,0.058
2003-02-01,0.059
2003-03-01,0.059
2003-04-01,0.060
2003-05-01,0.061
2003-06-01,0.063
2003-07-01,0.062
2003-08-01,0.061
2003-09-01,0.061
2003-10-01,0.060
2003-11-01,0.058
2003-12-01,0.057
2004-01-01,0.057
2004-02-01,0.056
2004-03-01,0.058
2004-04-01,0.056
2004-05-01,0.056
2004-06-01,0.056
2004-07-01,0.055
2004-08-01,0.054
2004-09-01,0.054
2004-10-01,0.055
2004-11-01,0.054
2004-12-01,0.054
2005-01-01,0.053
2005-02-01,0.054
2005-03-01,0.052
2005-04-01,0.052
2005-05-01,0.051
2005-06-01,0.050
2005-07-01,0.050
2005-08-01,0.049
2005-09-01,0.050
2005-10-01,0.050
2005-11-01,0.050
2005-12-01,0.049
2006-01-01,0.047
2006-02-01,0.048
2006-03-01,0.047
2006-04-01,0.047
2006-05-01,0.046
2006-06-01,0.046
2006-07-01,0.047
2006-08-01,0.047
2006-09-01,0.045
2006-10-01,0.044
2006-11-01,0.045
2006-12-01,0.044
2007-01-01,0.046
2007-02-01,0.045
2007-03-01,0.044
2007-04-01,0.045
2007-05-01,0.044
2007-06-01,0.046
2007-07-01,0.047
2007-08-01,0.046
2007-09-01,0.047
2007-10-01,0.047
2007-11-01,0.047
2007-12-01,0.050
2008-01-01,0.050
2008-02-01,0.049
2008-03-01,0.051
2008-04-01,0.050
2008-05-01,0.054
2008-06-01,0.056
2008-07-01,0.058
2008-08-01,0.061
2008-09-01,0.061
2008-10-01,0.065
2008-11-01,0.068
2008-12-01,0.073
2009-01-01,0.078
2009-02-01,0.083
2009-03-01,0.087
2009-04-01,0.090
2009-05-01,0.094
2009-06-01,0.095
2009-07-01,0.095
2009-08-01,0.096
2009-09-01,0.098
2009-10-01,0.100
2009-11-01,0.099
2009-12-01,0.099
2010-01-01,0.098
2010-02-01,0.098
2010-03-01,0.099
2010-04-01,0.099
2010-05-01,0.096
2010-06-01,0.094
2010-07-01,0.094
2010-08-01,0.095
2010-09-01,0.095
2010-10-01,0.094
2010-11-01,0.098
2010-12-01,0.093
2011-01-01,0.091
2011-02-01,0.090
2011-03-01,0.090
2011-04-01,0.091
2011-05-01,0.090
2011-06-01,0.091
2011-07-01,0.090
2011-08-01,0.090
2011-09-01,0.090
2011-10-01,0.088
2011-11-01,0.086
2011-12-01,0.085
2012-01-01,0.083
2012-02-01,0.083
2012-03-01,0.082
2012-04-01,0.082
2012-05-01,0.082
2012-06-01,0.082
2012-07-01,0.082
2012-08-01,0.081
2012-09-01,0.078
2012-10-01,0.078
2012-11-01,0.077
2012-12-01,0.079
2013-01-01,0.080
2013-02-01,0.077
2013-03-01,0.075
2013-04-01,0.076
